product_group,goc,pol_num,pre_ann,sum_assd,loan_sa
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2020_IF,2,155760000,1500000000,0
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2021_IF,1,114061500,450000000,0
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2022_IF,6,690995500,8650000000,0
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2023_IF,5,397774698,1761000000,0
CEFC60_IDR,CEFC60_HSBC_KT_L_IDR_PI_2024_IF,3,119658500,770000000,0
CEFPST_IDR,CEFPST_QNB_NK_L_IDR_NO_2021_IF,2,24817500,225000000,0
CEFPST_IDR,CEFPST_QNB_NK_L_IDR_NO_2022_IF,8,313584000,3061864410,0
CEFPST_IDR,CEFPST_QNB_NK_L_IDR_NO_2023_IF,9,371400000,4470000000,0
CEFPST_IDR,CEFPST_QNB_NK_L_IDR_NO_2024_IF,16,742260260,7335441965,0
CEFPST_IDR,CEFPST_QNB_NK_L_IDR_NO_2025_Q1,5,183248000,1343000000,0
CEFR50_IDR,CEFR50_AZID_AG_L_IDR_NI_2014_IF,1360,5831441058,55424125000,879097651.8449315068
CEFR50_USD,CEFR50_AZID_AG_L_USD_NI_2014_IF,77,194187.9,571600,-0.01
CEFR50_IDR,CEFR50_SPRING_AG_L_IDR_NI_2014_IF,1,1196400,30000000,-1
CEFR55_IDR,CEFR55_AZID_AG_L_IDR_NI_2014_IF,530,2701797335,21524500000,145079670
CEFR55_USD,CEFR55_AZID_AG_L_USD_NI_2014_IF,27,84415.16,298700,0.07
CEFR60_IDR,CEFR60_AZID_AG_L_IDR_NI_2014_IF,89,423754256,3438200000,26373413
CEFR60_USD,CEFR60_AZID_AG_L_USD_NI_2014_IF,4,7029,45000,0
CEGPST_IDR,CEGPST_BTPN_NK_L_IDR_NO_2020_IF,21,730165100,7732343250,0
CEGPST_IDR,CEGPST_BTPN_NK_L_IDR_NO_2021_IF,99,2684457974,29814560000,16579929
CEGPST_IDR,CEGPST_BTPN_NK_L_IDR_NO_2022_IF,74,2083784067,23551079680,0
CEGPST_IDR,CEGPST_BTPN_NK_L_IDR_NO_2023_IF,38,1291368550,14248769231,0
CEGPST_IDR,CEGPST_BTPN_NK_L_IDR_NO_2024_IF,31,1524974500,13266701960,0
CEGPST_IDR,CEGPST_BTPN_NK_L_IDR_NO_2025_Q1,2,105045000,1800000000,0
CEHPST_IDR,CEHPST_HSBC_KT_L_IDR_NO_2020_IF,3,133610000,1450000000,0
CEHPST_IDR,CEHPST_HSBC_KT_L_IDR_NO_2021_IF,54,2143805600,26130000000,0
CEHPST_IDR,CEHPST_HSBC_KT_L_IDR_NO_2022_IF,252,19012105700,1.47195E+11,0
CEHPST_IDR,CEHPST_HSBC_KT_L_IDR_NO_2023_IF,516,45891236700,4.14235E+11,0
CEHPST_IDR,CEHPST_HSBC_KT_L_IDR_NO_2024_IF,276,23120143070,1.80385E+11,0
CEHPST_IDR,CEHPST_HSBC_KT_L_IDR_NO_2025_Q1,45,3834823760,36090640000,0
CEHT___IDR,CEHT___AZID_AG_L_IDR_NI_2014_IF,70,14717366,125300000,-44
CEME___IDR,CEME___AZID_AG_L_IDR_PI_2014_IF,1020,3797737279,24159618118,1253022043
CEME___IDR,CEME___AZID_AG_L_IDR_PI_2015_IF,23,117149155,914500000,28770041
CEME___IDR,CEME___AZID_AG_L_IDR_PI_2016_IF,27,1210821312,2649643161,16933286
CEME___USD,CEME___AZID_AG_L_USD_PI_2014_IF,9,94664.05,93500,8408.12
CEME___IDR,CEME___EAGLE_AG_L_IDR_PI_2016_IF,1,6246600,60000000,0
CEME___IDR,CEME___SPRING_AG_L_IDR_PI_2014_IF,7,22414620,195855599,10562100
CEME___IDR,CEME___SPRING_AG_L_IDR_PI_2016_IF,4,42000000,388044008,0
CEME___USD,CEME___SPRING_AG_L_USD_PI_2014_IF,1,1541.98,11000,0
CEMF50_IDR,CEMF50_AZID_AG_L_IDR_PI_2014_IF,187,1327405494,9972100000,473354441
CEMF50_IDR,CEMF50_AZID_AG_L_IDR_PI_2015_IF,3,13223000,200000000,55855005
CEMF50_USD,CEMF50_AZID_AG_L_USD_PI_2014_IF,5,52112.75,145000,0
CEMF50_IDR,CEMF50_SPRING_AG_L_IDR_PI_2016_IF,2,62964000,250000000,0
CEMF55_IDR,CEMF55_AZID_AG_L_IDR_PI_2014_IF,177,1201531707,7020599051,426546243
CEMF55_IDR,CEMF55_AZID_AG_L_IDR_PI_2016_IF,1,6712500,75000000,0
CEMF55_USD,CEMF55_AZID_AG_L_USD_PI_2014_IF,2,3097.3,10000,0
CEMF55_IDR,CEMF55_SPRING_AG_L_IDR_PI_2014_IF,2,44687000,155000000,0
CEMF60_IDR,CEMF60_AZID_AG_L_IDR_PI_2014_IF,36,239277223,1190212855,47995088
CEMF60_USD,CEMF60_AZID_AG_L_USD_PI_2014_IF,1,1356.35,5000,0
CEMFP1_IDR,CEMFP1_PERMATA_NK_L_IDR_PI_2014_IF,8,686335930,1882000000,0
CEMFP2_IDR,CEMFP2_PERMATA_NK_L_IDR_PI_2014_IF,21,540568650,1701000000,124654686
CEMFP3_IDR,CEMFP3_PERMATA_NK_L_IDR_PI_2014_IF,9,53647250,250000000,0
CEMPST_IDR,CEMPST_MAYBANK_NK_L_IDR_NO_2020_IF,22,225684600,4746000000,0
CEMPST_IDR,CEMPST_MAYBANK_NK_L_IDR_NO_2021_IF,64,1121168430,19907000000,0
CEMPST_IDR,CEMPST_MAYBANK_NK_L_IDR_NO_2022_IF,62,1758892780,21605000000,0
CEMPST_IDR,CEMPST_MAYBANK_NK_L_IDR_NO_2023_IF,142,4508836308,46145955321,0
CEMPST_IDR,CEMPST_MAYBANK_NK_L_IDR_NO_2024_IF,68,3423552942,39277928366,0
CEMPST_IDR,CEMPST_MAYBANK_NK_L_IDR_NO_2025_Q1,14,590411720,4290000000,0
CEPL___IDR,CEPL___AZID_AG_L_IDR_NI_2014_IF,2522,473749855,5338900000,2828339
