product_group;goc;pol_num;pre_ann;sum_assd;loan_sa;;
CEFC55_IDR;CEFC55_HSBC_KT_L_IDR_PI_2019_IF;4;227897640;1148000000;30592380;;
CEFC55_IDR;CEFC55_HSBC_KT_L_IDR_PI_2020_IF;1;24012000;100000000;0;;
CEFC55_IDR;CEFC55_HSBC_KT_L_IDR_PI_2022_IF;9;1036645875;6463500000;0;;
CEFC55_IDR;CEFC55_HSBC_KT_L_IDR_PI_2023_IF;10;1083449300;5070000000;0;;
CEFC55_IDR;CEFC55_HSBC_KT_L_IDR_PI_2024_IF;8;1700389920;6372000000;0;;
CEFC60_IDR;CEFC60_HSBC_KT_L_IDR_PI_2016_IF;1;99325000;500000000;0;;
CEFC60_IDR;CEFC60_HSBC_KT_L_IDR_PI_2017_IF;33;4471900560;23456000000;215783956;;
CEFC60_IDR;CEFC60_HSBC_KT_L_IDR_PI_2018_IF;5;738882100;3502000000;0;;
CEFC60_IDR;CEFC60_HSBC_KT_L_IDR_PI_2019_IF;1;100816800;420000000;0;;
CEFC60_IDR;CEFC60_HSBC_KT_L_IDR_PI_2020_IF;2;155760000;1500000000;0;;
CEFC60_IDR;CEFC60_HSBC_KT_L_IDR_PI_2021_IF;1;114061500;450000000;0;;
CEFC60_IDR;CEFC60_HSBC_KT_L_IDR_PI_2022_IF;6;690995500;8650000000;0;;
CEFC60_IDR;CEFC60_HSBC_KT_L_IDR_PI_2023_IF;4;367639438;1627000000;0;;
CEFC60_IDR;CEFC60_HSBC_KT_L_IDR_PI_2024_IF;3;119658500;770000000;0;;
CEFPST_IDR;CEFPST_QNB_NK_L_IDR_NO_2021_IF;2;24817500;225000000;0;;
CEFPST_IDR;CEFPST_QNB_NK_L_IDR_NO_2022_IF;8;313584000;3061864410;0;;
CEFPST_IDR;CEFPST_QNB_NK_L_IDR_NO_2023_IF;9;371400000;4470000000;0;;
CEFPST_IDR;CEFPST_QNB_NK_L_IDR_NO_2024_IF;16;742260260;7335441965;0;;
CEFPST_IDR;CEFPST_QNB_NK_L_IDR_NO_2025_Q1;5;183248000;1343000000;0;;
CEFR50_IDR;CEFR50_AZID_AG_L_IDR_NI_2014_IF;1358;5823293558;55324125000;9.207.870.248.449.310.000;;
CEFR50_USD;CEFR50_AZID_AG_L_USD_NI_2014_IF;76;192180.2;561600;-0.01;;
CEFR50_IDR;CEFR50_SPRING_AG_L_IDR_NI_2014_IF;1;1196400;30000000;-1;;
CEFR55_IDR;CEFR55_AZID_AG_L_IDR_NI_2014_IF;528;2694955685;21459500000;145339559;;
CEFR55_USD;CEFR55_AZID_AG_L_USD_NI_2014_IF;27;84415.16;298700;0.07;;
CEFR60_IDR;CEFR60_AZID_AG_L_IDR_NI_2014_IF;84;395558406;3233200000;27098963;;
CEFR60_USD;CEFR60_AZID_AG_L_USD_NI_2014_IF;4;7029;45000;0;;
CEGPST_IDR;CEGPST_BTPN_NK_L_IDR_NO_2020_IF;21;730165100;7732343250;0;;
CEGPST_IDR;CEGPST_BTPN_NK_L_IDR_NO_2021_IF;97;2610789974;28594560000;1551468;;
CEGPST_IDR;CEGPST_BTPN_NK_L_IDR_NO_2022_IF;72;2056260067;23291079680;0;;
CEGPST_IDR;CEGPST_BTPN_NK_L_IDR_NO_2023_IF;34;1135568250;12642269231;0;;
CEGPST_IDR;CEGPST_BTPN_NK_L_IDR_NO_2024_IF;28;1458844000;12761601960;0;;
CEGPST_IDR;CEGPST_BTPN_NK_L_IDR_NO_2025_Q1;2;105045000;1800000000;0;;
CEGPST_IDR;CEGPST_BTPN_NK_L_IDR_NO_2025_Q2;4;116340000;650000000;0;;
CEHPST_IDR;CEHPST_HSBC_KT_L_IDR_NO_2020_IF;3;133610000;1450000000;0;;
CEHPST_IDR;CEHPST_HSBC_KT_L_IDR_NO_2021_IF;54;2143805600;26130000000;0;;
