product_group,goc,pol_num,pre_ann,sum_assur,total_fund
ULAI___IDR,ULAI___AZID_AG_IDR_SH_2014_IF,62,2243000000,3737250000,1757226965.525433
ULAI___IDR,ULAI___SPRING_AG_IDR_SH_2014_IF,1,15000000,18750000,110092200.613975
ULAMAP_IDR,ULAMAP_SPRING_AG_IDR_SH_2014_IF,7,224000000,344500000,88506434.068287
ULAMF2_IDR,ULAMF2_AZID_AG_IDR_SH_2016_IF,1,20000000,50000000,1410592
ULAMF2_IDR,ULAMF2_AZID_AG_IDR_SH_2017_IF,2,87000000,108750000,71402066.359835
ULAMF2_IDR,ULAMF2_AZID_AG_IDR_SH_2018_IF,12,375850000,651250000,174438193.613461
ULAMF2_IDR,ULAMF2_AZID_AG_IDR_SH_2019_IF,20,777000000,1297500000,473858948.903955
ULAMF2_IDR,ULAMF2_AZID_AG_IDR_SH_2020_IF,9,1165000000,1493750000,365203140
ULAMF2_IDR,ULAMF2_EAGLE_AG_IDR_SH_2016_IF,3,95000000,220000000,26078300
ULAMF2_IDR,ULAMF2_EAGLE_AG_IDR_SH_2017_IF,9,709275000,1458250000,86052595
ULAMF2_IDR,ULAMF2_EAGLE_AG_IDR_SH_2018_IF,13,667000000,1420000000,401108931
ULAMF2_IDR,ULAMF2_EAGLE_AG_IDR_SH_2019_IF,5,174000000,424500000,144884660
ULAMF2_IDR,ULAMF2_EAGLE_AG_IDR_SH_2020_IF,5,85000000,106250000,82694341
ULAMF2_IDR,ULAMF2_SPRING_AG_IDR_SH_2015_IF,1,12000000,15000000,9285636.28079
ULAMF2_IDR,ULAMF2_SPRING_AG_IDR_SH_2017_IF,5,216000000,357500000,114081408.097783
ULAMF2_IDR,ULAMF2_SPRING_AG_IDR_SH_2018_IF,3,325000000,406250000,332156783
ULAMF2_IDR,ULAMF2_SPRING_AG_IDR_SH_2019_IF,4,54000000,80000000,31203053
ULAMF2_IDR,ULAMF2_SPRING_AG_IDR_SH_2020_IF,1,50000000,62500000,56554886
ULAMF2A_IDR,ULAMF2A_AZID_AG_IDR_SH_2020_IF,4,130000000,325000000,37027021
ULAMF2A_IDR,ULAMF2A_AZID_AG_IDR_SH_2021_IF,8,150000000,227500000,119797353
ULAMF2A_IDR,ULAMF2A_AZID_AG_IDR_SH_2022_IF,10,195000000,380000000,163582588
ULAMF2A_IDR,ULAMF2A_AZID_AG_IDR_SH_2023_IF,4,57000000,90000000,49540069
ULAMF2A_IDR,ULAMF2A_EAGLE_AG_IDR_SH_2020_IF,1,12000000,15000000,12498499
ULAMF2A_IDR,ULAMF2A_EAGLE_AG_IDR_SH_2021_IF,9,495000000,725000000,245364749.414408
ULAMF2A_IDR,ULAMF2A_EAGLE_AG_IDR_SH_2022_IF,11,776091045,970163807,460223285.670799
ULAMF2A_IDR,ULAMF2A_EAGLE_AG_IDR_SH_2023_IF,1,12000000,42000000,33470263.357432
ULAMF2A_IDR,ULAMF2A_SPRING_AG_IDR_SH_2021_IF,2,87000000,215000000,54676354
ULAMF2A_IDR,ULAMF2A_SPRING_AG_IDR_SH_2022_IF,1,30000000,100000000,275461762.421696
ULAMFP_IDR,ULAMFP_AZID_AG_IDR_SH_2014_IF,19,985000000,1816250000,481488870.431042
ULAMFP_IDR,ULAMFP_AZID_AG_IDR_SH_2015_IF,6,110500000,175625000,45429735
ULAMFP_IDR,ULAMFP_SPRING_AG_IDR_SH_2014_IF,4,64000000,106250000,28234324.065368
ULAP___IDR,ULAP___AZID_AG_IDR_SH_2014_IF,47,328499996,9544000000,1509394243.430642
ULAP___IDR,ULAP___SPRING_AG_IDR_SH_2014_IF,14,47860000,2073000000,220668284.025396
ULAPO1_IDR,ULAPO1_AZID_AG_IDR_SH_2014_IF,3579,21364985936,748778556900,56713875350.032801
ULAPO1_IDR,ULAPO1_AZID_AG_IDR_SH_2015_IF,569,2882096000,115239000000,7618596362.805498
ULAPO1_IDR,ULAPO1_SPRING_AG_IDR_SH_2014_IF,4145,31791647404,1509725120350,76893419978.018372
ULAPO1_IDR,ULAPO1_SPRING_AG_IDR_SH_2015_IF,565,4404056696,227027200900,9545318204.960215
ULAPO1_IDR,ULAPO1_SYARIAH_NK_IDR_SH_2014_IF,5,18000000,1150000000,66396874.416606
ULAPO2_IDR,ULAPO2_AZID_AG_IDR_SH_2014_IF,2847,36343081308,893657345000,62517828856.997566
ULAPO2_IDR,ULAPO2_AZID_AG_IDR_SH_2015_IF,352,4237160000,98990300000,7175897874.805201
ULAPO2_IDR,ULAPO2_SPRING_AG_IDR_SH_2014_IF,3381,55177876304,1491119400000,90004865257.880326
ULAPO2_IDR,ULAPO2_SPRING_AG_IDR_SH_2015_IF,477,6561444000,185378600000,9252825054.212406
ULAPO2_IDR,ULAPO2_SYARIAH_NK_IDR_SH_2014_IF,3,16800000,750000000,44999499.101828
ULAPO3_IDR,ULAPO3_AZID_AG_IDR_SH_2015_IF,266,1884576000,75385000000,6100966358.473408
ULAPO3_IDR,ULAPO3_AZID_AG_IDR_SH_2016_IF,633,4375562532,181325700000,9220473699.692562
